id,name,experience,average_case_completion_days,BarLicenseNumber,rating,province
528,Hridaan Vora,7,96,8351,2,Sudurpaschim
529,Mamooty Bhatnagar,4,102,1473,1,Bagmati
530,Zaina Sen,6,0,1460,2,Sudurpaschim
531,Damini Yohannan,13,91,3561,3,Koshi
532,Hansh Sami,20,70,4188,4,Koshi
533,Yuvaan Bakshi,15,84,3880,3,Lumbini
534,Reyansh Shukla,3,90,2016,1,Lumbini
535,Anika Balay,23,62,1562,4,Lumbini
536,Alia Uppal,8,110,8706,2,Koshi
537,Armaan Seshadri,20,92,5976,4,Bagmati
538,Hazel Bhatti,16,95,9159,3,Bagmati
539,Baiju Chauhan,13,110,2073,3,Sudurpaschim
540,Jayant Goda,18,0,5529,3,Bagmati
541,Nayantara Sarna,28,98,1967,5,Lumbini
542,Indranil Balakrishnan,10,88,9710,3,Gandaki
543,Tanya Bhargava,19,87,1907,3,Lumbini
544,Farhan Balasubramanian,17,78,5206,3,Koshi
545,Divij Varughese,24,114,4277,4,Gandaki
546,Khushi Wable,19,84,2167,3,Sudurpaschim
547,Ojas Banerjee,28,100,3480,5,Madhesh
548,Mishti Rege,26,61,5156,4,Bagmati
549,Madhav Sarraf,23,107,2559,4,Bagmati
550,Indranil Chanda,26,0,8054,4,Koshi
551,Vivaan Arora,5,91,3872,2,Lumbini
552,Samaira Vyas,26,86,2492,4,Lumbini
553,Ritvik Samra,21,96,8232,4,Gandaki
554,Adira Keer,23,124,5921,4,Bagmati
555,Yasmin Tata,9,63,2834,2,Koshi
556,Darshit Kakar,12,101,2955,3,Sudurpaschim
557,Tejas Bath,21,76,8157,4,Lumbini
558,Vedika Bedi,1,89,7235,1,Bagmati
559,Fateh Kara,26,86,6385,4,Madhesh
560,Umang Saxena,26,0,1431,4,Koshi
561,Jiya Bhakta,1,89,2237,1,Gandaki
562,Drishya Barman,15,72,9851,3,Lumbini
563,Jayant Basu,2,105,7884,1,Lumbini
564,Chirag Tella,22,63,9075,4,Sudurpaschim
565,Vihaan Chander,16,98,9523,3,Lumbini
566,Manikya Dani,25,85,4402,4,Koshi
567,Madhav Hari,8,72,7981,2,Bagmati
568,Divit Kulkarni,13,93,7912,3,Bagmati
569,Kavya Saran,21,66,8706,4,Bagmati
570,Ritvik Chaudhary,1,0,6259,1,Madhesh
571,Vanya Dass,16,68,7771,3,Madhesh
572,Urvi Amble,29,96,8113,5,Lumbini
573,Miraan Bajaj,7,76,7507,2,Madhesh
574,Mamooty Kuruvilla,5,83,4268,2,Madhesh
575,Shanaya Ahluwalia,22,94,3450,4,Sudurpaschim
576,Ehsaan Saraf,29,78,5183,5,Madhesh
577,Armaan Bhasin,23,89,7344,4,Gandaki
578,Priyansh Kapoor,3,67,1898,1,Gandaki
579,Trisha Raval,12,99,1110,3,Gandaki
580,Parinaaz Yogi,26,0,5423,4,Lumbini
581,Anahi Zacharia,16,131,9792,3,Bagmati
582,Purab Samra,19,91,2759,3,Sudurpaschim
583,Aaina Kaul,5,101,6539,2,Lumbini
584,Ayesha Rao,22,63,5898,4,Bagmati
585,Mannat Rout,25,112,1864,4,Sudurpaschim
586,Oorja Kale,29,101,7177,5,Sudurpaschim
587,Suhana Chada,14,82,9754,3,Sudurpaschim
588,Azad Shah,28,108,6995,5,Gandaki
589,Vanya Maharaj,5,86,1331,2,Gandaki
590,Jivika Sangha,15,0,2041,3,Gandaki
591,Prerak Sami,17,97,9112,3,Sudurpaschim
592,Romil Banik,14,74,8869,3,Koshi
593,Badal Ravel,20,105,2459,4,Sudurpaschim
594,Ishaan Ratta,5,74,3382,2,Gandaki
595,Kiaan Bansal,12,74,8388,3,Sudurpaschim
596,Tanya Jayaraman,16,76,4990,3,Gandaki
597,Prerak Kakar,26,101,8228,4,Gandaki
598,Manjari Zacharia,26,80,9724,4,Gandaki
599,Eshani Rege,16,69,4205,3,Koshi
600,Neelofar Din,21,0,1249,4,Bagmati
601,Heer Dube,7,89,5854,2,Sudurpaschim
602,Anya Divan,4,72,4166,1,Lumbini
603,Ahana  Deshmukh,1,72,8763,1,Gandaki
604,Baiju Upadhyay,5,121,4387,2,Koshi
605,Yuvaan Gade,23,77,8583,4,Lumbini
606,Bhavin Dora,26,85,2541,4,Bagmati
607,Chirag Hayer,10,84,1488,3,Sudurpaschim
608,Divij Thakur,22,83,5626,4,Koshi
609,Lakshay Sekhon,5,99,1016,2,Gandaki
610,Advika Wable,4,0,9411,1,Gandaki
611,Farhan Sarna,2,85,8005,1,Gandaki
612,Hazel Chana,20,71,9313,4,Koshi
613,Riya Sarin,10,109,9825,3,Lumbini
614,Vaibhav Andra,26,88,8303,4,Bagmati
615,Suhana Chaudhuri,19,115,8872,3,Sudurpaschim
616,Jhanvi Wason,26,56,2018,4,Bagmati
617,Dharmajan Apte,1,92,9875,1,Gandaki
618,Khushi Thakkar,24,118,9186,4,Bagmati
619,Mannat Loyal,5,84,9208,2,Lumbini
620,Vritika Gill,13,0,3288,3,Madhesh
621,Farhan Bajaj,4,94,5481,1,Madhesh
622,Amani Yohannan,16,81,6994,3,Sudurpaschim
623,Saanvi Garg,24,85,9086,4,Sudurpaschim
624,Raghav Shanker,16,84,9730,3,Bagmati
625,Abram Thaker,23,80,7482,4,Sudurpaschim
626,Sumer Viswanathan,2,108,9591,1,Koshi
627,Vivaan Dara,17,96,5532,3,Lumbini
628,Inaaya  Bora,28,93,1158,5,Gandaki
629,Charvi Sehgal,27,102,3486,4,Gandaki
630,Arhaan Kohli,20,0,1399,4,Bagmati
631,Shalv Gade,24,78,1108,4,Gandaki
632,Anahita Sahota,12,80,9875,3,Bagmati
633,Kanav Bhasin,18,90,5034,3,Sudurpaschim
634,Kabir Bhardwaj,3,74,2494,1,Sudurpaschim
635,Jiya Issac,28,82,2601,5,Koshi
636,Mohanlal Rastogi,1,82,7641,1,Koshi
637,Nirvi Ray,1,121,7003,1,Lumbini
638,Samaira Chawla,29,48,2277,5,Gandaki
639,Mahika Sankaran,19,87,8674,3,Koshi
640,Tejas Dhar,11,0,1993,3,Lumbini
641,Indrans Das,5,91,2972,2,Madhesh
642,Purab Hayer,12,101,5224,3,Koshi
643,Arnav Bora,3,91,4099,1,Lumbini
644,Elakshi Contractor,1,79,5940,1,Bagmati
645,Ranbir Samra,1,56,4255,1,Bagmati
646,Khushi Kohli,8,93,8934,2,Lumbini
647,Anaya Sama,10,78,5046,3,Sudurpaschim
648,Jivin Behl,11,77,6695,3,Madhesh
649,Aniruddh Kala,12,82,5156,3,Lumbini
650,Adah Gera,29,0,5460,5,Koshi
651,Devansh Bal,13,126,3721,3,Sudurpaschim
652,Tushar Setty,12,93,4208,3,Lumbini
653,Kimaya Shere,14,83,4966,3,Gandaki
654,Saanvi Bhatnagar,2,72,3222,1,Koshi
655,Faiyaz Barad,29,97,2466,5,Koshi
656,Anahita Ganesh,19,116,2628,3,Bagmati
657,Parinaaz Singh,18,86,9691,3,Gandaki
658,Neelofar Jain,3,54,6172,1,Gandaki
659,Vivaan Mallick,23,100,6284,4,Koshi
660,Hridaan Shetty,17,0,1196,3,Madhesh
661,Nitya Dara,26,66,9906,4,Sudurpaschim
662,Yasmin Shukla,8,92,6144,2,Bagmati
663,Uthkarsh Raman,29,96,9492,5,Gandaki
664,Anahi Shah,26,88,3231,4,Bagmati
665,Arhaan Basak,10,78,2859,3,Koshi
666,Jayesh Bhat,26,105,9832,4,Sudurpaschim
667,Shanaya Chada,2,83,9673,1,Lumbini
668,Advik Loke,19,67,2135,3,Gandaki
669,Vidur Master,9,59,8278,2,Sudurpaschim
670,Samar Chaudhari,7,0,4658,2,Bagmati
671,Baiju Ramakrishnan,4,99,1476,1,Koshi
672,Jayan Bahl,26,91,8046,4,Sudurpaschim
673,Suhana Saini,21,83,1362,4,Lumbini
674,Farhan Rattan,18,82,6083,3,Sudurpaschim
675,Urvi Gupta,13,73,5914,3,Koshi
676,Kiaan Ravel,11,83,4056,3,Bagmati
677,Ryan Hegde,29,58,7171,5,Gandaki
678,Ranbir Manne,24,78,4105,4,Gandaki
679,Anika Sen,4,85,4549,1,Madhesh
680,Rohan Banik,25,0,3451,4,Bagmati
681,Drishya Sandal,21,89,4503,4,Madhesh
682,Kanav Walla,29,101,6106,5,Madhesh
683,Zain Chakraborty,25,110,7641,4,Koshi
684,Urvi Kothari,4,105,3405,1,Koshi
685,Tejas Krishnan,10,97,2824,3,Koshi
686,Vidur Bains,5,90,2149,2,Lumbini
687,Anaya Rastogi,9,75,6027,2,Bagmati
688,Nehmat Savant,24,101,9394,4,Gandaki
689,Yuvraj  Kumar,3,115,9834,1,Bagmati
690,Badal Krishnamurthy,17,0,6190,3,Koshi
691,Nakul Goda,3,118,9421,1,Lumbini
692,Shlok Ratti,16,67,3725,3,Bagmati
693,Vedika Varty,4,72,7698,1,Bagmati
694,Bhamini Kale,18,102,1529,3,Madhesh
695,Zeeshan Sharma,17,93,6636,3,Bagmati
696,Mohanlal Lal,7,109,6635,2,Madhesh
697,Bhavin Keer,24,89,9858,4,Madhesh
698,Anahi Grover,23,76,1424,4,Sudurpaschim
699,Zeeshan Kara,5,86,2589,2,Koshi
700,Darshit Chhabra,12,0,3466,3,Lumbini
701,Stuvan Comar,17,73,5353,3,Madhesh
702,Farhan Bhalla,23,104,3204,4,Bagmati
703,Lagan Kari,13,103,1650,3,Madhesh
704,Pihu Sangha,23,95,2812,4,Madhesh
705,Miraya Boase,25,64,5655,4,Madhesh
706,Hrishita Babu,3,84,1181,1,Gandaki
707,Alisha Goda,9,71,3613,2,Gandaki
708,Advika Kashyap,17,107,8183,3,Gandaki
709,Jiya Dash,17,81,4253,3,Gandaki
710,Heer Datta,20,0,9742,4,Sudurpaschim
711,Eva Deshmukh,16,90,7246,3,Madhesh
712,Ranbir Krishnan,25,80,2594,4,Sudurpaschim
713,Sana De,22,112,5516,4,Bagmati
714,Myra Yogi,13,78,8716,3,Koshi
715,Jivin Khalsa,27,69,8824,4,Lumbini
716,Nishith Vig,19,57,7479,3,Sudurpaschim
717,Reyansh Thaman,17,89,8029,3,Gandaki
718,Yasmin Baria,4,81,8500,1,Gandaki
719,Alia Wali,12,68,9119,3,Bagmati
720,Dharmajan Sami,29,0,4164,5,Madhesh
721,Ranbir Bumb,9,100,6343,2,Lumbini
722,Eva Ram,19,89,7654,3,Sudurpaschim
723,Akarsh Virk,12,110,5191,3,Madhesh
724,Vaibhav Dâ€™Alia,9,99,3889,2,Madhesh
725,Zain Mahajan,7,77,5269,2,Koshi
726,Anaya Chakrabarti,28,74,9039,5,Koshi
727,Raunak Dayal,14,102,7041,3,Sudurpaschim
728,Khushi Devan,20,95,5262,4,Sudurpaschim
729,Aaina Sundaram,19,92,9885,3,Sudurpaschim
730,Lakshit Wable,26,0,8780,4,Sudurpaschim
731,Jhanvi Kale,15,99,3023,3,Gandaki
732,Tarini Upadhyay,16,78,1094,3,Madhesh
733,Fateh Kari,21,88,3583,4,Madhesh
734,Samaira Sundaram,5,111,3897,2,Gandaki
735,Jayan Hayer,3,80,7671,1,Madhesh
736,Shalv Bhasin,12,66,5856,3,Sudurpaschim
737,Dhruv Chokshi,25,74,6320,4,Lumbini
738,Nishith Gulati,20,104,5162,4,Koshi
739,Ishita Kaul,27,93,2126,4,Koshi
740,Heer Vala,21,0,1321,4,Madhesh
741,Kavya Sawhney,4,82,9298,1,Lumbini
742,Ela Bail,21,97,8066,4,Koshi
743,Zara Butala,23,77,2773,4,Lumbini
744,Anay Subramaniam,16,94,4198,3,Gandaki
745,Hansh Bawa,25,79,2452,4,Bagmati
746,Advika Vasa,7,76,6324,2,Madhesh
747,Devansh Shroff,13,80,3913,3,Gandaki
748,Alisha Reddy,21,84,4083,4,Gandaki
749,Saanvi Madan,10,89,3083,3,Lumbini
750,Gokul Jain,26,0,4145,4,Madhesh
751,Saksham Srinivas,7,34,4681,2,Gandaki
752,Heer Roy,14,77,3164,3,Sudurpaschim
753,Advik Bala,26,84,4830,4,Gandaki
754,Vivaan Baral,5,112,3107,2,Sudurpaschim
755,Nitya Amble,3,73,1352,1,Bagmati
756,Sahil Bhardwaj,23,92,7010,4,Sudurpaschim
757,Hrishita Ratta,29,112,7995,5,Sudurpaschim
758,Vedika Keer,11,70,2802,3,Lumbini
759,Hazel Basak,11,95,1885,3,Gandaki
760,Samar Chandran,18,0,4227,3,Bagmati
761,Zeeshan Chahal,15,82,1113,3,Gandaki
762,Kismat Raman,12,77,4260,3,Sudurpaschim
763,Damini Mandal,9,79,5103,2,Koshi
764,Dhanuk Ganesan,10,130,3454,3,Sudurpaschim
765,Romil Choudhury,26,102,5901,4,Gandaki
766,Vaibhav Walla,12,106,2641,3,Bagmati
767,Ivan Mane,17,97,7257,3,Koshi
768,Indrajit Tripathi,29,65,3814,5,Bagmati
769,Indrajit Dara,6,95,7592,2,Lumbini
770,Jayesh Solanki,7,0,6128,2,Sudurpaschim
771,Uthkarsh Kibe,14,77,5173,3,Sudurpaschim
772,Kimaya Sachar,13,104,9341,3,Lumbini
773,Azad Venkatesh,8,100,7240,2,Gandaki
774,Vihaan Bath,10,117,2614,3,Sudurpaschim
775,Ela Kaul,9,83,9467,2,Gandaki
776,Veer Master,18,73,8751,3,Bagmati
777,Divyansh Devan,27,84,1276,4,Koshi
778,Stuvan Kota,26,111,4111,4,Koshi
779,Raunak Saraf,2,62,1474,1,Koshi
780,Siya Krish,5,0,9555,2,Madhesh
781,Kiaan Gaba,29,91,7265,5,Lumbini
782,Pari Sama,5,83,2979,2,Koshi
783,Neelofar Sule,6,90,1240,2,Sudurpaschim
784,Abram Tripathi,19,104,6243,3,Lumbini
785,Eshani Kota,8,81,6244,2,Bagmati
786,Lakshay Swamy,16,61,3818,3,Bagmati
787,Nitya Jhaveri,13,120,8805,3,Bagmati
788,Saira Thakur,1,75,3801,1,Bagmati
789,Darshit Kulkarni,22,74,9207,4,Madhesh
790,Kabir Tella,20,0,1070,4,Gandaki
791,Riya Iyer,17,84,5243,3,Gandaki
792,Trisha Bora,7,89,8478,2,Koshi
793,Lagan Varma,25,97,6030,4,Madhesh
794,Piya Dhar,13,106,9942,3,Gandaki
795,Renee Ratti,4,84,5197,1,Bagmati
796,Jayan Goda,4,112,8317,1,Gandaki
797,Yashvi Jhaveri,6,57,7148,2,Lumbini
798,Shlok Mangat,28,101,9137,5,Koshi
799,Umang Keer,19,77,2057,3,Gandaki
800,Vaibhav Kaur,29,0,7579,5,Lumbini
801,Uthkarsh Thaker,12,92,1255,3,Sudurpaschim
802,Chirag Sheth,22,79,7902,4,Lumbini
803,Mohanlal Ram,7,99,1725,2,Lumbini
804,Purab Mangat,27,103,7864,4,Bagmati
805,Neysa Bansal,10,99,6954,3,Bagmati
806,Yuvraj  Bali,26,74,2424,4,Koshi
807,Reyansh Varghese,19,82,1389,3,Bagmati
808,Prerak Sama,7,89,8305,2,Lumbini
809,Riya Bera,3,89,7869,1,Madhesh
810,Siya Karan,13,0,8388,3,Bagmati
811,Tiya Bhargava,13,59,6267,3,Bagmati
812,Parinaaz Borde,18,95,5929,3,Lumbini
813,Ela Behl,28,85,5124,5,Sudurpaschim
814,Dharmajan De,26,77,8740,4,Sudurpaschim
815,Neysa Bhalla,20,78,7628,4,Gandaki
816,Riya Bhatia,28,86,4363,5,Koshi
817,Suhana Chopra,8,35,7788,2,Sudurpaschim
818,Ela Mann,29,79,1584,5,Bagmati
819,Fateh Kalla,9,76,9778,2,Madhesh
820,Rati Contractor,7,0,4983,2,Gandaki
821,Nishith Saraf,1,77,7881,1,Koshi
822,Amani Yogi,3,86,4597,1,Madhesh
823,Vanya Kala,13,113,4260,3,Madhesh
824,Lakshit Garg,28,104,4642,5,Bagmati
825,Yasmin Kumar,25,103,4978,4,Lumbini
826,Prerak Chander,28,82,9739,5,Lumbini
827,Hansh Sen,17,98,6892,3,Lumbini
828,Nitya Varty,25,86,4269,4,Sudurpaschim
829,Himmat Sani,24,87,6811,4,Lumbini
830,Tushar Dasgupta,1,0,2489,1,Koshi
831,Misha Shenoy,6,81,3986,2,Bagmati
832,Aaina Sule,21,112,3652,4,Sudurpaschim
833,Madhup Bhalla,6,87,6728,2,Koshi
834,Nirvaan Dugar,26,99,5184,4,Lumbini
835,Jayesh Kara,12,111,8302,3,Koshi
836,Nirvi Loke,13,105,1319,3,Madhesh
837,Romil Mall,13,68,1713,3,Bagmati
838,Aradhya Grover,29,96,2156,5,Bagmati
839,Hansh Jhaveri,15,102,7073,3,Koshi
840,Ela Dugar,21,0,5308,4,Gandaki
841,Indranil Bal,16,73,4974,3,Bagmati
842,Neysa Bhat,22,80,1798,4,Madhesh
843,Inaaya  Kala,21,104,6196,4,Bagmati
844,Adah Deo,11,78,9962,3,Gandaki
845,Arnav Badal,28,85,1736,5,Bagmati
846,Stuvan Talwar,5,113,7634,2,Bagmati
847,Dhruv De,4,89,2714,1,Gandaki
848,Farhan Chahal,3,79,2836,1,Bagmati
849,Miraya Tank,19,76,9328,3,Koshi
850,Hazel Thaker,20,0,2139,4,Sudurpaschim
851,Rhea Dar,25,70,1889,4,Koshi
852,Taran Baral,18,86,6424,3,Bagmati
853,Tara Loke,15,94,7431,3,Lumbini
854,Kashvi Date,9,109,9176,2,Lumbini
855,Ryan Jaggi,17,100,1534,3,Sudurpaschim
856,Vivaan Sarna,14,79,1175,3,Bagmati
857,Navya Shukla,15,107,6415,3,Madhesh
858,Damini Sinha,1,85,8696,1,Bagmati
859,Kimaya Hayer,21,71,4083,4,Lumbini
860,Azad Vala,22,0,3749,4,Gandaki
861,Lakshit Shankar,22,111,4586,4,Sudurpaschim
862,Charvi Rao,3,92,6267,1,Gandaki
863,Anaya Arora,16,90,5178,3,Madhesh
864,Ira Kannan,23,114,9666,4,Bagmati
865,Yasmin Dutta,25,68,4801,4,Madhesh
866,Mehul Basu,11,70,3303,3,Gandaki
867,Fateh Char,12,65,4898,3,Bagmati
868,Hunar Mandal,10,95,3940,3,Koshi
869,Anaya Sathe,16,92,5816,3,Koshi
870,Vidur Bhakta,8,0,6935,2,Madhesh
871,Manjari Brahmbhatt,6,93,1020,2,Koshi
872,Anay Kumar,12,83,2984,3,Koshi
873,Samar Kothari,24,90,1207,4,Lumbini
874,Ahana  Kakar,28,91,7863,5,Koshi
875,Nirvaan Chanda,21,64,7498,4,Lumbini
876,Nirvaan Kapur,8,130,6176,2,Sudurpaschim
877,Jayan Kunda,26,97,3038,4,Lumbini
878,Manikya Shankar,28,93,7840,5,Lumbini
879,Saanvi Issac,4,99,2603,1,Gandaki
880,Jivika Badami,26,0,1673,4,Lumbini
881,Abram Sachar,8,87,7828,2,Lumbini
882,Ishita Mahajan,26,80,4382,4,Gandaki
883,Ritvik Brar,28,98,2132,5,Lumbini
884,Tushar Dubey,18,95,6026,3,Koshi
885,Nayantara Dugar,28,77,6737,5,Lumbini
886,Rohan Dara,28,111,6481,5,Sudurpaschim
887,Yuvaan Atwal,5,94,8791,2,Lumbini
888,Amira Sharaf,9,100,1402,2,Lumbini
889,Alisha Tailor,4,110,5912,1,Sudurpaschim
890,Anvi Rattan,27,0,6350,4,Gandaki
891,Yasmin Shankar,22,94,7639,4,Koshi
892,Dishani Krishnan,17,102,7577,3,Lumbini
893,Taimur Gour,9,79,3506,2,Koshi
894,Neysa Balay,1,90,4367,1,Madhesh
895,Madhav Ratta,21,91,1033,4,Koshi
896,Rohan Rastogi,20,75,9325,4,Gandaki
897,Anika Johal,13,124,3737,3,Gandaki
898,Tara Dara,28,68,6886,5,Lumbini
899,Lagan Majumdar,16,70,3490,3,Sudurpaschim
900,Aarav Madan,29,0,7934,5,Gandaki
901,Renee Goda,13,100,1292,3,Sudurpaschim
902,Ivana Gera,14,74,2597,3,Madhesh
903,Vritika Varma,3,99,3355,1,Sudurpaschim
904,Ojas Rana,29,112,9713,5,Bagmati
905,Kimaya Bhatt,6,89,9755,2,Sudurpaschim
906,Seher Gupta,18,128,8257,3,Gandaki
907,Charvi Atwal,19,64,3680,3,Sudurpaschim
908,Khushi Thaker,5,100,4097,2,Sudurpaschim
909,Elakshi Thaman,15,107,3019,3,Bagmati
910,Reyansh Kohli,25,0,2457,4,Bagmati
911,Ranbir Contractor,2,86,4162,1,Lumbini
912,Prerak Shenoy,10,85,7869,3,Gandaki
913,Samiha Toor,24,96,6338,4,Lumbini
914,Kashvi Kuruvilla,18,102,5086,3,Bagmati
915,Jivin Virk,27,99,4058,4,Sudurpaschim
916,Mannat Joshi,13,105,3624,3,Bagmati
917,Zeeshan Varghese,5,74,9107,2,Madhesh
918,Advika Sarraf,23,86,5708,4,Sudurpaschim
919,Badal Bansal,24,75,6291,4,Lumbini
920,Bhamini Boase,1,0,9563,1,Sudurpaschim
921,Kabir Shukla,22,105,9863,4,Madhesh
922,Tara Ganesh,1,91,3051,1,Bagmati
923,Aarna Iyer,18,129,5431,3,Gandaki
924,Indrajit Deshpande,15,92,1346,3,Koshi
925,Tiya Cherian,17,90,3417,3,Gandaki
926,Indrans Buch,11,91,3015,3,Gandaki
927,Manikya Kapoor,21,80,6717,4,Bagmati
928,Dishani Basu,26,89,3248,4,Gandaki
929,Nitya Bhatia,25,106,8473,4,Madhesh
930,Madhup Lad,22,0,2539,4,Bagmati
931,Adira Gade,27,78,8668,4,Gandaki
932,Alia Tank,27,76,3970,4,Koshi
933,Manikya Malhotra,17,83,4074,3,Lumbini
934,Trisha Bera,13,91,9701,3,Bagmati
935,Aarna Deo,1,107,4012,1,Bagmati
936,Aaryahi Lall,2,69,3413,1,Sudurpaschim
937,Vidur Ahluwalia,9,85,2771,2,Gandaki
938,Pranay Balasubramanian,3,92,2445,1,Lumbini
939,Sahil Taneja,1,62,6120,1,Koshi
940,Dhanuk Wadhwa,21,0,9419,4,Madhesh
941,Aniruddh Sarma,16,79,4683,3,Bagmati
942,Vardaniya Balay,23,78,7896,4,Madhesh
943,Anay Mall,6,92,5037,2,Madhesh
944,Sumer Dave,28,87,7066,5,Madhesh
945,Neelofar Sarna,17,81,9871,3,Sudurpaschim
946,Hansh Buch,5,96,2059,2,Madhesh
947,Purab Deo,5,115,2828,2,Gandaki
948,Sumer Gandhi,6,114,1189,2,Gandaki
949,Hansh Sharaf,3,61,4242,1,Lumbini
950,Bhavin Vig,21,0,5166,4,Lumbini
951,Baiju Dua,23,87,6351,4,Koshi
952,Adira Khalsa,5,92,1069,2,Madhesh
953,Aaryahi Chowdhury,21,84,9925,4,Madhesh
954,Taimur Shah,5,91,5525,2,Sudurpaschim
955,Aniruddh Dugar,10,92,9071,3,Madhesh
956,Mannat Acharya,10,81,1236,3,Madhesh
957,Suhana Kohli,19,76,6711,3,Madhesh
958,Taran Bajwa,17,83,5714,3,Bagmati
959,Yakshit Gala,21,93,1836,4,Bagmati
960,Faiyaz Dasgupta,14,0,2738,3,Sudurpaschim
961,Jhanvi Gade,9,102,5730,2,Sudurpaschim
962,Diya Arya,14,82,4007,3,Gandaki
963,Rasha Ranganathan,1,94,4896,1,Sudurpaschim
964,Akarsh Bansal,19,104,5800,3,Koshi
965,Kabir Rajagopal,13,107,2408,3,Gandaki
966,Raghav Mahajan,13,89,3641,3,Madhesh
967,Anahi Dar,4,86,4486,1,Sudurpaschim
968,Shalv Lata,1,92,9580,1,Koshi
969,Sumer Gara,17,72,9543,3,Sudurpaschim
970,Nayantara Sama,8,0,1951,2,Sudurpaschim
971,Samar Bhatnagar,2,101,6551,1,Gandaki
972,Adah Dara,28,99,8498,5,Gandaki
973,Samar Roy,8,85,2336,2,Lumbini
974,Damini Shanker,7,93,9324,2,Gandaki
975,Amira Lall,26,77,9148,4,Gandaki
976,Yakshit Deshmukh,26,100,8964,4,Bagmati
977,Saira Loke,2,88,3670,1,Sudurpaschim
978,Heer Dixit,22,85,8573,4,Gandaki
979,Aniruddh Balay,22,84,3567,4,Sudurpaschim
980,Mohanlal Sane,3,0,4157,1,Sudurpaschim
981,Miraya Rout,27,83,8018,4,Bagmati
982,Aaina Sani,18,99,9180,3,Sudurpaschim
983,Neelofar Acharya,12,84,8130,3,Koshi
984,Ritvik Kamdar,1,113,6272,1,Gandaki
985,Uthkarsh Doctor,22,111,4824,4,Sudurpaschim
986,Manjari Kumer,12,76,3786,3,Lumbini
987,Dharmajan Chaudhari,5,91,6652,2,Lumbini
988,Ehsaan Mahajan,27,80,3023,4,Bagmati
989,Shlok Subramaniam,25,85,3404,4,Koshi
990,Piya Chakrabarti,17,0,6994,3,Gandaki
991,Heer Bhatti,16,85,4213,3,Bagmati
992,Ryan Barad,15,95,3306,3,Lumbini
993,Shaan Dhar,23,98,6710,4,Koshi
994,Rhea Solanki,15,74,8795,3,Gandaki
995,Aniruddh Gopal,5,77,8778,2,Sudurpaschim
996,Hrishita Iyengar,21,71,7715,4,Gandaki
997,Neysa Bhattacharyya,14,76,6525,3,Madhesh
998,Divit Mannan,2,47,8808,1,Gandaki
999,Ojas Rajagopal,11,98,7955,3,Sudurpaschim
1000,Yuvraj  Seshadri,19,0,5289,3,Madhesh
1001,Neysa Bassi,7,92,3952,2,Koshi
1002,Urvi Hayre,6,68,2713,2,Bagmati
1003,Hiran Bali,28,80,5996,5,Koshi
1004,Aniruddh Khanna,2,83,5700,1,Gandaki
1005,Divyansh Lala,6,74,1354,2,Bagmati
1006,Rati Chaudhary,18,102,1401,3,Gandaki
1007,Jiya Lad,2,102,6135,1,Lumbini
1008,Jivin Ramakrishnan,18,72,8401,3,Lumbini
1009,Stuvan Dora,15,100,1183,3,Sudurpaschim
1010,Mannat Devan,27,0,7282,4,Koshi
1011,Rati Srivastava,19,118,2358,3,Lumbini
1012,Lakshay Chander,2,132,5271,1,Madhesh
1013,Zoya Date,20,76,4381,4,Madhesh
1014,Amira Mall,25,132,5795,4,Gandaki
1015,Divit Buch,6,84,8424,2,Bagmati
1016,Neysa Kala,1,81,3207,1,Madhesh
1017,Alia Suri,24,94,9077,4,Gandaki
1018,Onkar Lad,15,81,9298,3,Bagmati
1019,Yashvi Sami,28,95,7473,5,Lumbini
1020,Kashvi Dugal,23,0,2713,4,Gandaki
1021,Vritika Loke,10,86,9886,3,Bagmati
1022,Piya Gulati,19,109,6577,3,Sudurpaschim
1023,Ira Devi,17,89,8231,3,Koshi
1024,Mohanlal Kala,5,92,8216,2,Koshi
1025,Rania Bhatt,29,97,2199,5,Sudurpaschim
1026,Kartik Loke,4,107,3109,1,Madhesh
1027,Ryan Kala,10,65,1938,3,Koshi
1028,Ivana Amble,24,98,2987,4,Bagmati
1029,Hridaan Dada,17,85,4343,3,Sudurpaschim
1030,Pari Ben,10,0,4628,3,Madhesh
1031,Vritika Jha,17,105,3268,3,Gandaki
1032,Tushar Rattan,28,72,8229,5,Gandaki
1033,Lavanya Kibe,20,74,5461,4,Bagmati
1034,Ira Lata,24,60,6188,4,Bagmati
1035,Taimur Lalla,5,81,8554,2,Bagmati
1036,Faiyaz Saxena,2,109,8445,1,Koshi
1037,Kartik Bhatia,6,88,2135,2,Bagmati
1038,Jayesh Gara,21,69,4373,4,Sudurpaschim
1039,Dishani Zacharia,2,82,7954,1,Sudurpaschim
1040,Reyansh Baral,13,0,4952,3,Madhesh
1041,Drishya Madan,11,73,9552,3,Sudurpaschim
1042,Navya Ramaswamy,11,95,8949,3,Koshi
1043,Jiya Khalsa,16,72,6885,3,Gandaki
1044,Shaan Kanda,11,106,7500,3,Madhesh
1045,Aaina Singhal,19,88,2863,3,Sudurpaschim
1046,Tara Mander,15,91,1119,3,Bagmati
1047,Shaan Bhargava,25,85,7288,4,Sudurpaschim
1048,Aaryahi Rajagopalan,23,101,3878,4,Lumbini
1049,Yasmin Dalal,23,101,4297,4,Madhesh
1050,Zain Devi,16,0,4491,3,Koshi
1051,Lakshit Chawla,11,98,4369,3,Sudurpaschim
